a b c brian_constant
1 1 2 0
1 1 3 1.416666666666667
1 1 4 1.61855653438864
1 1 5 1.69047618841866
1 1 6 1.705676959134282
1 1 7 1.707064910202066
1 1 8 1.707105032674273
1 1 9 1.707106959325841
1 1 10 1.707106749915704
1 1 11 1.707106786550058
1 1 12 1.707106780266313
1 1 13 1.707106781344434
1 1 14 1.707106781159458
1 1 15 1.707106781191195
1 1 16 1.707106781185751
1 1 17 1.707106781186684
1 1 18 1.707106781186524
1 1 19 1.707106781186551
1 1 20 1.707106781186546
1 1 21 1.707106781186548
1 1 22 1.707106781186547
1 1 23 1.707106781186548
1 1 24 1.707106781186547
1 1 25 1.707106781186547
1 1 26 1.707106781186548
1 1 27 1.707106781186548
1 1 28 1.707106781186547
1 1 29 1.707106781186546
1 1 30 1.707106781186547
1 1 31 1.707106781186548
1 1 32 1.707106781186549
1 1 33 1.707106781186548
1 1 34 1.707106781186547
1 1 35 1.707106781186548
1 1 36 1.707106781186548
1 1 37 1.707106781186548
1 1 38 1.707106781186548
1 1 39 1.707106781186547
1 1 40 1.707106781186547
1 2 2 3.8
1 2 3 1.483870967741935
1 2 4 1.48
1 2 5 1.480662983425414
1 2 6 1.480549199084668
1 2 7 1.480568720379147
1 2 8 1.480565371024735
1 2 9 1.480565945682225
1 2 10 1.480565847086561
1 2 11 1.480565864002902
1 2 12 1.480565861100517
1 2 13 1.480565861598487
1 2 14 1.480565861513049
1 2 15 1.480565861527708
1 2 16 1.480565861525193
1 2 17 1.480565861525624
1 2 18 1.48056586152555
1 2 19 1.480565861525563
1 2 20 1.480565861525561
1 2 21 1.480565861525561
1 2 22 1.480565861525561
1 2 23 1.480565861525561
1 2 24 1.480565861525561
1 2 25 1.480565861525561
1 2 26 1.480565861525561
1 2 27 1.480565861525561
1 2 28 1.480565861525561
1 2 29 1.480565861525561
1 2 30 1.480565861525561
1 2 31 1.480565861525561
1 2 32 1.480565861525561
1 2 33 1.480565861525561
1 2 34 1.480565861525561
1 2 35 1.480565861525561
1 2 36 1.480565861525561
1 2 37 1.480565861525561
1 2 38 1.480565861525561
1 2 39 1.480565861525561
1 2 40 1.480565861525561
1 3 2 3.875
1 3 3 1.5
1 3 4 1.495867768595041
1 3 5 1.496575342465754
1 3 6 1.49645390070922
1 3 7 1.49647473560517
1 3 8 1.496471160866391
1 3 9 1.496471774193548
1 3 10 1.496471668963214
1 3 11 1.496471687017884
1 3 12 1.496471683920192
1 3 13 1.496471684451672
1 3 14 1.496471684360484
1 3 15 1.49647168437613
1 3 16 1.496471684373445
1 3 17 1.496471684373906
1 3 18 1.496471684373827
1 3 19 1.49647168437384
1 3 20 1.496471684373838
1 3 21 1.496471684373839
1 3 22 1.496471684373838
1 3 23 1.496471684373838
1 3 24 1.496471684373838
1 3 25 1.496471684373838
1 3 26 1.496471684373838
1 3 27 1.496471684373838
1 3 28 1.496471684373838
1 3 29 1.496471684373838
1 3 30 1.496471684373838
1 3 31 1.496471684373838
1 3 32 1.496471684373838
1 3 33 1.496471684373838
1 3 34 1.496471684373838
1 3 35 1.496471684373838
1 3 36 1.496471684373838
1 3 37 1.496471684373838
1 3 38 1.496471684373838
1 3 39 1.496471684373838
1 3 40 1.496471684373838
1 4 2 3.846153846153846
1 4 3 1.493827160493827
1 4 4 1.489795918367347
1 4 5 1.490486257928118
1 4 6 1.490367775831874
1 4 7 1.490388103010519
1 4 8 1.490384615384615
1 4 9 1.490385213765636
1 4 10 1.490385111099655
1 4 11 1.490385128714351
1 4 12 1.490385125692147
1 4 13 1.490385126210675
1 4 14 1.49038512612171
1 4 15 1.490385126136974
1 4 16 1.490385126134355
1 4 17 1.490385126134804
1 4 18 1.490385126134727
1 4 19 1.490385126134741
1 4 20 1.490385126134738
1 4 21 1.490385126134739
1 4 22 1.490385126134739
1 4 23 1.490385126134739
1 4 24 1.490385126134739
1 4 25 1.490385126134739
1 4 26 1.490385126134739
1 4 27 1.490385126134739
1 4 28 1.490385126134739
1 4 29 1.490385126134739
1 4 30 1.490385126134739
1 4 31 1.490385126134739
1 4 32 1.490385126134739
1 4 33 1.490385126134739
1 4 34 1.490385126134739
1 4 35 1.490385126134739
1 4 36 1.490385126134739
1 4 37 1.490385126134739
1 4 38 1.490385126134739
1 4 39 1.490385126134739
1 4 40 1.490385126134739
1 5 2 3.857142857142857
1 5 3 1.49618320610687
1 5 4 1.49211356466877
1 5 5 1.49281045751634
1 5 6 1.492690850027071
1 5 7 1.492711370262391
1 5 8 1.492707849512309
1 5 9 1.492708453576513
1 5 10 1.492708349935451
1 5 11 1.492708367717445
1 5 12 1.492708364666537
1 5 13 1.49270836518999
1 5 14 1.49270836510018
1 5 15 1.492708365115589
1 5 16 1.492708365112945
1 5 17 1.492708365113399
1 5 18 1.492708365113321
1 5 19 1.492708365113334
1 5 20 1.492708365113332
1 5 21 1.492708365113332
1 5 22 1.492708365113332
1 5 23 1.492708365113332
1 5 24 1.492708365113332
1 5 25 1.492708365113332
1 5 26 1.492708365113332
1 5 27 1.492708365113332
1 5 28 1.492708365113332
1 5 29 1.492708365113332
1 5 30 1.492708365113332
1 5 31 1.492708365113332
1 5 32 1.492708365113332
1 5 33 1.492708365113332
1 5 34 1.492708365113332
1 5 35 1.492708365113332
1 5 36 1.492708365113332
1 5 37 1.492708365113332
1 5 38 1.492708365113332
1 5 39 1.492708365113332
1 5 40 1.492708365113332
1 6 2 3.852941176470588
1 6 3 1.495283018867924
1 6 4 1.491228070175439
1 6 5 1.491922455573506
1 6 6 1.491803278688525
1 6 7 1.491823725055432
1 6 8 1.491820216979507
1 6 9 1.491820818869181
1 6 10 1.491820715601209
1 6 11 1.491820733319191
1 6 12 1.491820730279266
1 6 13 1.491820730800835
1 6 14 1.491820730711348
1 6 15 1.491820730726701
1 6 16 1.491820730724067
1 6 17 1.491820730724519
1 6 18 1.491820730724442
1 6 19 1.491820730724455
1 6 20 1.491820730724453
1 6 21 1.491820730724453
1 6 22 1.491820730724453
1 6 23 1.491820730724453
1 6 24 1.491820730724453
1 6 25 1.491820730724453
1 6 26 1.491820730724453
1 6 27 1.491820730724453
1 6 28 1.491820730724453
1 6 29 1.491820730724453
1 6 30 1.491820730724453
1 6 31 1.491820730724453
1 6 32 1.491820730724453
1 6 33 1.491820730724453
1 6 34 1.491820730724453
1 6 35 1.491820730724453
1 6 36 1.491820730724453
1 6 37 1.491820730724453
1 6 38 1.491820730724453
1 6 39 1.491820730724453
1 6 40 1.491820730724453
1 7 2 3.854545454545454
1 7 3 1.495626822157434
1 7 4 1.491566265060241
1 7 5 1.492261607588617
1 7 6 1.492142266335815
1 7 7 1.492162740899358
1 7 8 1.492159227985525
1 7 9 1.492159830705248
1 7 10 1.492159727294862
1 7 11 1.492159745037279
1 7 12 1.492159741993161
1 7 13 1.492159742515449
1 7 14 1.492159742425839
1 7 15 1.492159742441214
1 7 16 1.492159742438576
1 7 17 1.492159742439028
1 7 18 1.492159742438951
1 7 19 1.492159742438964
1 7 20 1.492159742438962
1 7 21 1.492159742438962
1 7 22 1.492159742438962
1 7 23 1.492159742438962
1 7 24 1.492159742438962
1 7 25 1.492159742438962
1 7 26 1.492159742438962
1 7 27 1.492159742438962
1 7 28 1.492159742438962
1 7 29 1.492159742438962
1 7 30 1.492159742438962
1 7 31 1.492159742438962
1 7 32 1.492159742438962
1 7 33 1.492159742438962
1 7 34 1.492159742438962
1 7 35 1.492159742438962
1 7 36 1.492159742438962
1 7 37 1.492159742438962
1 7 38 1.492159742438962
1 7 39 1.492159742438962
1 7 40 1.492159742438962
1 8 2 3.853932584269663
1 8 3 1.495495495495496
1 8 4 1.491437081161578
1 8 5 1.492132058006788
1 8 6 1.492012779552716
1 8 7 1.492033243343391
1 8 8 1.49202973227794
1 8 9 1.492030334680532
1 8 10 1.492030231324558
1 8 11 1.492030249057639
1 8 12 1.492030246015123
1 8 13 1.492030246537136
1 8 14 1.492030246447573
1 8 15 1.49203024646294
1 8 16 1.492030246460303
1 8 17 1.492030246460755
1 8 18 1.492030246460678
1 8 19 1.492030246460691
1 8 20 1.492030246460689
1 8 21 1.492030246460689
1 8 22 1.492030246460689
1 8 23 1.492030246460689
1 8 24 1.492030246460689
1 8 25 1.492030246460689
1 8 26 1.492030246460689
1 8 27 1.492030246460689
1 8 28 1.492030246460689
1 8 29 1.492030246460689
1 8 30 1.492030246460689
1 8 31 1.492030246460689
1 8 32 1.492030246460689
1 8 33 1.492030246460689
1 8 34 1.492030246460689
1 8 35 1.492030246460689
1 8 36 1.492030246460689
1 8 37 1.492030246460689
1 8 38 1.492030246460689
1 8 39 1.492030246460689
1 8 40 1.492030246460689
1 9 2 3.854166666666667
1 9 3 1.49554565701559
1 9 4 1.491486424298205
1 9 5 1.492181540808543
1 9 6 1.492062238369797
1 9 7 1.492082706274946
1 9 8 1.492079194503544
1 9 9 1.492079797027258
1 9 10 1.492079693650502
1 9 11 1.492079711387148
1 9 12 1.492079708344021
1 9 13 1.492079708866139
1 9 14 1.492079708776558
1 9 15 1.492079708791928
1 9 16 1.492079708789291
1 9 17 1.492079708789743
1 9 18 1.492079708789665
1 9 19 1.492079708789679
1 9 20 1.492079708789676
1 9 21 1.492079708789677
1 9 22 1.492079708789677
1 9 23 1.492079708789677
1 9 24 1.492079708789677
1 9 25 1.492079708789677
1 9 26 1.492079708789677
1 9 27 1.492079708789677
1 9 28 1.492079708789677
1 9 29 1.492079708789677
1 9 30 1.492079708789677
1 9 31 1.492079708789677
1 9 32 1.492079708789677
1 9 33 1.492079708789677
1 9 34 1.492079708789677
1 9 35 1.492079708789677
1 9 36 1.492079708789677
1 9 37 1.492079708789677
1 9 38 1.492079708789677
1 9 39 1.492079708789677
1 9 40 1.492079708789677
1 10 2 3.854077253218884
1 10 3 1.495526496902959
1 10 4 1.491467576791809
1 10 5 1.492162639952858
1 10 6 1.492043346675779
1 10 7 1.492063813009281
1 10 8 1.492060301507538
1 10 9 1.492060903984986
1 10 10 1.492060800616168
1 10 11 1.492060818351453
1 10 12 1.492060815308559
1 10 13 1.492060815830637
1 10 14 1.492060815741062
1 10 15 1.492060815756431
1 10 16 1.492060815753794
1 10 17 1.492060815754246
1 10 18 1.492060815754169
1 10 19 1.492060815754182
1 10 20 1.49206081575418
1 10 21 1.49206081575418
1 10 22 1.49206081575418
1 10 23 1.49206081575418
1 10 24 1.49206081575418
1 10 25 1.49206081575418
1 10 26 1.49206081575418
1 10 27 1.49206081575418
1 10 28 1.49206081575418
1 10 29 1.49206081575418
1 10 30 1.49206081575418
1 10 31 1.49206081575418
1 10 32 1.49206081575418
1 10 33 1.49206081575418
1 10 34 1.49206081575418
1 10 35 1.49206081575418
1 10 36 1.49206081575418
1 10 37 1.49206081575418
1 10 38 1.49206081575418
1 10 39 1.49206081575418
1 10 40 1.49206081575418
1 11 2 3.854111405835544
1 11 3 1.495533815397703
1 11 4 1.491474775883284
1 11 5 1.492169859421662
1 11 6 1.492050562645187
1 11 7 1.492071029578996
1 11 8 1.492067517974254
1 11 9 1.492068120469374
1 11 10 1.492068017097524
1 11 11 1.492068034833328
1 11 12 1.492068031790345
1 11 13 1.492068032312439
1 11 14 1.492068032222862
1 11 15 1.492068032238231
1 11 16 1.492068032235594
1 11 17 1.492068032236046
1 11 18 1.492068032235969
1 11 19 1.492068032235982
1 11 20 1.49206803223598
1 11 21 1.49206803223598
1 11 22 1.49206803223598
1 11 23 1.49206803223598
1 11 24 1.49206803223598
1 11 25 1.49206803223598
1 11 26 1.49206803223598
1 11 27 1.49206803223598
1 11 28 1.49206803223598
1 11 29 1.49206803223598
1 11 30 1.49206803223598
1 11 31 1.49206803223598
1 11 32 1.49206803223598
1 11 33 1.49206803223598
1 11 34 1.49206803223598
1 11 35 1.49206803223598
1 11 36 1.49206803223598
