a    b     c      brian constant
1    30    30     1.492066037647514
1    30    31     1.492066037647514
1    30    32     1.492066037647514
1    30    33     1.492066037647514
1    30    34     1.492066037647514
1    30    35     1.492066037647514
1    30    36     1.492066037647514
1    30    37     1.492066037647514
1    30    38     1.492066037647514
1    30    39     1.492066037647514
1    30    40     1.492066037647514
1    31    30     1.492066037647546
1    31    31     1.492066037647546
1    31    32     1.492066037647546
1    31    33     1.492066037647545
1    31    34     1.492066037647545
1    31    35     1.492066037647546
1    31    36     1.492066037647546
1    31    37     1.492066037647546
1    31    38     1.492066037647546
1    31    39     1.492066037647546
1    31    40     1.492066037647546
1    32    30     1.492066037647534
1    32    31     1.492066037647534
1    32    32     1.492066037647534
1    32    33     1.492066037647534
1    32    34     1.492066037647534
1    32    35     1.492066037647534
1    32    36     1.492066037647534
1    32    37     1.492066037647534
1    32    38     1.492066037647533
1    32    39     1.492066037647533
1    32    40     1.492066037647533
1    33    30     1.492066037647538
1    33    31     1.492066037647538
1    33    32     1.492066037647538
1    33    33     1.492066037647538
1    33    34     1.492066037647538
1    33    35     1.492066037647538
1    33    36     1.492066037647538
1    33    37     1.492066037647538
1    33    38     1.492066037647538
1    33    39     1.492066037647538
1    33    40     1.492066037647538
1    34    30     1.492066037647537
1    34    31     1.492066037647537
1    34    32     1.492066037647537
1    34    33     1.492066037647537
1    34    34     1.492066037647537
1    34    35     1.492066037647537
1    34    36     1.492066037647537
1    34    37     1.492066037647537
1    34    38     1.492066037647537
1    34    39     1.492066037647537
1    34    40     1.492066037647537
1    35    30     1.492066037647537
1    35    31     1.492066037647537
1    35    32     1.492066037647537
1    35    33     1.492066037647537
1    35    34     1.492066037647537
1    35    35     1.492066037647536
1    35    36     1.492066037647536
1    35    37     1.492066037647536
1    35    38     1.492066037647536
1    35    39     1.492066037647536
1    35    40     1.492066037647537
1    36    30     1.492066037647537
1    36    31     1.492066037647537
1    36    32     1.492066037647537
1    36    33     1.492066037647537
1    36    34     1.492066037647537
1    36    35     1.492066037647537
1    36    36     1.492066037647537
1    36    37     1.492066037647537
1    36    38     1.492066037647537
1    36    39     1.492066037647537
1    36    40     1.492066037647537
1    37    30     1.492066037647537
1    37    31     1.492066037647537
1    37    32     1.492066037647537
1    37    33     1.492066037647537
1    37    34     1.492066037647537
1    37    35     1.492066037647537
1    37    36     1.492066037647537
1    37    37     1.492066037647537
1    37    38     1.492066037647537
1    37    39     1.492066037647537
1    37    40     1.492066037647537
1    38    30     1.492066037647537
1    38    31     1.492066037647538
1    38    32     1.492066037647538
1    38    33     1.492066037647538
1    38    34     1.492066037647538
1    38    35     1.492066037647538
1    38    36     1.492066037647538
1    38    37     1.492066037647538
1    38    38     1.492066037647538
1    38    39     1.492066037647538
1    38    40     1.492066037647538
1    39    30     1.492066037647537
1    39    31     1.492066037647537
1    39    32     1.492066037647537
1    39    33     1.492066037647537
1    39    34     1.492066037647537
1    39    35     1.492066037647537
1    39    36     1.492066037647536
1    39    37     1.492066037647537
1    39    38     1.492066037647537
1    39    39     1.492066037647537
1    39    40     1.492066037647536
1    40    30     1.492066037647537
1    40    31     1.492066037647537
1    40    32     1.492066037647537
1    40    33     1.492066037647537
1    40    34     1.492066037647537
1    40    35     1.492066037647537
1    40    36     1.492066037647537
1    40    37     1.492066037647537
1    40    38     1.492066037647537
1    40    39     1.492066037647537
1    40    40     1.492066037647537
2    30    30     1.504167368203261
2    30    31     1.504167368208171
2    30    32     1.504167368206051
2    30    33     1.504167368206967
2    30    34     1.504167368206571
2    30    35     1.504167368206742
2    30    36     1.504167368206668
2    30    37     1.5041673682067
2    30    38     1.504167368206686
2    30    39     1.504167368206692
2    30    40     1.504167368206689
2    31    30     1.50416736820326
2    31    31     1.504167368208171
2    31    32     1.504167368206051
2    31    33     1.504167368206966
2    31    34     1.504167368206571
2    31    35     1.504167368206742
2    31    36     1.504167368206668
2    31    37     1.5041673682067
2    31    38     1.504167368206687
2    31    39     1.504167368206692
2    31    40     1.504167368206689
2    32    30     1.504167368203261
2    32    31     1.504167368208172
2    32    32     1.504167368206052
2    32    33     1.504167368206967
2    32    34     1.504167368206572
2    32    35     1.504167368206742
2    32    36     1.504167368206669
2    32    37     1.5041673682067
2    32    38     1.504167368206687
2    32    39     1.504167368206693
2    32    40     1.50416736820669
2    33    30     1.50416736820326
2    33    31     1.504167368208171
2    33    32     1.504167368206051
2    33    33     1.504167368206966
2    33    34     1.504167368206571
2    33    35     1.504167368206742
2    33    36     1.504167368206668
2    33    37     1.5041673682067
2    33    38     1.504167368206686
2    33    39     1.504167368206693
2    33    40     1.50416736820669
2    34    30     1.504167368203261
2    34    31     1.504167368208172
2    34    32     1.504167368206052
2    34    33     1.504167368206967
2    34    34     1.504167368206572
2    34    35     1.504167368206743
2    34    36     1.504167368206669
2    34    37     1.504167368206701
2    34    38     1.504167368206687
2    34    39     1.504167368206693
2    34    40     1.50416736820669
2    35    30     1.50416736820326
2    35    31     1.504167368208171
2    35    32     1.504167368206051
2    35    33     1.504167368206967
2    35    34     1.504167368206571
2    35    35     1.504167368206742
2    35    36     1.504167368206669
2    35    37     1.5041673682067
2    35    38     1.504167368206687
2    35    39     1.504167368206692
2    35    40     1.50416736820669
2    36    30     1.504167368203261
2    36    31     1.504167368208172
2    36    32     1.504167368206052
2    36    33     1.504167368206967
2    36    34     1.504167368206572
2    36    35     1.504167368206743
2    36    36     1.504167368206669
2    36    37     1.504167368206701
2    36    38     1.504167368206687
2    36    39     1.504167368206693
2    36    40     1.504167368206691
2    37    30     1.50416736820326
2    37    31     1.504167368208171
2    37    32     1.504167368206051
2    37    33     1.504167368206965
2    37    34     1.50416736820657
2    37    35     1.504167368206741
2    37    36     1.504167368206667
2    37    37     1.504167368206699
2    37    38     1.504167368206685
2    37    39     1.504167368206691
2    37    40     1.504167368206688
2    38    30     1.504167368203261
2    38    31     1.504167368208172
2    38    32     1.504167368206052
2    38    33     1.504167368206968
2    38    34     1.504167368206572
2    38    35     1.504167368206743
2    38    36     1.504167368206669
2    38    37     1.504167368206701
2    38    38     1.504167368206687
2    38    39     1.504167368206694
2    38    40     1.504167368206691
2    39    30     1.504167368203262
2    39    31     1.504167368208173
2    39    32     1.504167368206053
2    39    33     1.504167368206968
2    39    34     1.504167368206573
2    39    35     1.504167368206744
2    39    36     1.50416736820667
2    39    37     1.504167368206702
2    39    38     1.504167368206688
2    39    39     1.504167368206694
2    39    40     1.504167368206691
2    40    30     1.50416736820326
2    40    31     1.504167368208171
2    40    32     1.504167368206051
2    40    33     1.504167368206966
2    40    34     1.504167368206571
2    40    35     1.504167368206742
2    40    36     1.504167368206668
2    40    37     1.5041673682067
2    40    38     1.504167368206686
2    40    39     1.504167368206692
